song_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,num_samples,duration,duration_ms,end_of_fade_in,start_of_fade_out,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence,song_duration_ms,popularity,explicit
0419fe38-fe85-4e46-b9c7-592d56b5e7f3,0.45432,0.842,0.896,0.2513,9,0.4,-8.38,0,0.5507,117.454,4,0.654,4316703,195.76884,195768.0,0.1161,193.81696,0.787,0.039,0.995,0.896,241400,68,1
6d61af86-14f3-4182-ba1b-d79f465c0f18,0.44476,0.785,0.896,0.24814,9,0.4,-8.926,0,0.5847,135.999,3,0.693,5735967,260.13455,260134.0,1.11456,246.43338,0.72,0.013,0.991,0.892,259651,36,0
f1c8c0e3-a060-4c82-9dc4-9f11f829471b,0.4359,0.896,0.914,0.26793,9,0.3715,-6.312,0,0.5669,129.199,4,0.682,3060255,138.78706,,0.0,134.60608,0.754,0.025,0.994,0.895,185624,47,1
ec0aa337-9a2b-4f0a-91b1-f2d38d93a735,0.43415,0.896,0.94,0.27112,2,0.3849,-7.776,0,0.5384,129.199,3,0.687,3318303,150.48993,,0.44118,149.97769,0.754,0.007,0.992,0.893,150468,13,1
f6263bda-d28e-41d9-a9a3-28689a893f28,0.48274,0.745,0.853,0.14211,5,0.4,-7.918,1,0.5849,86.133,5,0.643,5946911,269.70117,269701.0,10.54186,253.49223,0.631,0.019,0.988,0.89,143213,55,1
d67f1b8e-79f9-4549-b274-6f747c742d69,0.43128,0.909,0.917,0.22176,9,0.328,-5.665,0,0.5935,129.199,4,0.682,3033631,137.57964,,1.57896,134.76862,0.754,0.015,0.99,0.891,137578,37,1
2662c066-4303-439b-9ac9-c8f99ca689a6,0.51151,0.594,0.808,0.25895,9,0.4,-8.737,0,0.5053,161.499,7,0.674,6497823,294.68585,294685.0,2.15946,285.62866,0.593,0.01,0.993,0.893,302492,54,1
fc626382-000a-4a08-ab2f-1e752af08082,0.45702,0.878,0.871,0.31292,5,0.4,-10.541,0,0.5065,123.047,3,0.661,5087775,230.7381,230738.0,0.0,229.34349,0.785,0.023,0.987,0.888,198973,85,1
ccb06d5b-dd8f-4c9c-9d63-e8b5edac9f7f,0.45336,0.93,0.888,0.2645,9,0.4,-6.56,0,0.5437,117.454,4,0.652,3141151,142.45583,,0.09288,140.94511,0.787,0.015,0.988,0.889,142428,55,1
93cd2061-5474-4a08-a806-8c236883ae4d,0.40754,0.865,0.931,0.25136,5,0.3067,-7.404,1,0.5956,103.359,6,0.707,3457567,156.80576,,0.16254,153.73932,0.717,0.022,0.991,0.892,127448,40,1
d2896404-1b4a-4e28-aa9d-abfcb46deea3,0.39085,0.917,0.872,0.23364,9,0.2365,-5.383,0,0.5836,123.047,3,0.661,3864095,175.2424,,0.0,172.96544,0.785,0.018,0.995,0.895,126269,41,1
8e710576-e6d3-4095-a362-005739cacf05,0.43138,0.939,0.893,0.25935,9,0.4,-10.754,0,0.554,117.454,3,0.653,3175967,144.03477,,0.04644,143.89406,0.787,0.012,0.989,0.89,161119,53,0
476c015d-3264-488f-b6c9-1a576c0df97b,0.45326,0.867,0.873,0.31914,5,0.3925,-8.491,1,0.5343,103.359,3,0.695,5021215,227.7195,227719.0,0.0,224.6995,0.717,0.03,0.993,0.894,227692,27,0
f25ba485-da0f-404b-85f5-2ff0f2cc3091,0.3983,0.892,0.862,0.27499,9,0.239,-6.411,0,0.5937,117.454,3,0.643,6246943,283.30807,283308.0,2.50776,282.65652,0.787,0.019,0.993,0.894,283306,63,1
0b8e5b0b-145e-4abc-b6cc-b4b78fcaa75b,0.54628,0.91,0.785,0.24527,5,0.4,-5.057,1,0.4482,107.666,7,0.609,4527104,205.31084,205310.0,0.06966,204.63747,0.738,0.01,0.99,0.891,106333,72,1
bcc0a5a9-d184-4f27-8df9-faf8054dac02,0.4897,0.834,0.843,0.23567,5,0.3603,-5.785,1,0.5522,99.384,4,0.659,3024415,137.16168,137161.0,0.0,135.99927,0.697,0.053,0.99,0.891,137151,66,1
74c28767-4b40-40d0-83ba-8db3bb7ac6fd,0.47322,0.877,0.857,0.24535,5,0.4,-9.678,1,0.538,112.347,3,0.701,6253087,283.5867,283586.0,0.02322,277.24625,0.762,0.016,0.994,0.894,254407,70,0
648adef1-227a-48c0-b26b-20031b18bb7f,0.44551,0.836,0.837,0.26723,5,0.2719,-6.551,1,0.5746,107.666,7,0.669,8270367,375.07333,375073.0,0.0,373.8877,0.738,0.017,0.994,0.895,375050,60,1
ba5cc734-613a-4ce3-b603-7999cfa98d5c,0.5495,0.808,0.767,0.16883,5,0.4,-7.307,1,0.3906,95.703,4,0.564,4845087,219.73184,219731.0,0.0,219.70721,0.679,0.033,0.993,0.893,219692,81,1
8aafa0ba-49bd-4166-8346-81c3b8e19d82,0.48646,0.852,0.85,0.22615,9,0.4,-8.839,0,0.5781,129.199,4,0.653,5794335,262.78162,262781.0,0.0,260.01706,0.754,0.02,0.99,0.891,210360,61,1
83360ec0-218f-4e06-81b4-06ff818152dc,0.47149,0.894,0.834,0.21299,9,0.3045,-8.101,0,0.5586,112.347,4,0.6,6208031,281.54337,281543.0,0.0,278.2215,0.762,0.016,0.991,0.892,216557,62,0
7e7a22c8-7793-48cf-bc46-5acdf93f2455,0.42784,0.916,0.932,0.25613,9,0.3944,-7.766,0,0.4742,129.199,3,0.686,2850335,129.26689,,0.09288,127.64009,0.754,0.012,0.992,0.893,129238,47,1
81f8f19b-4242-44b8-9e10-8105e08d6046,0.35481,0.785,0.949,0.2568,5,0.2934,-7.714,1,0.4794,86.133,6,0.674,4254239,192.936,192936.0,0.0,192.37732,0.631,0.017,0.987,0.888,192931,77,1
e6a666cc-daa3-43eb-8f9e-e98ead8e19ac,0.47968,0.713,0.815,0.30368,9,0.2896,-5.562,0,0.5408,86.133,4,0.524,5087775,230.7381,230738.0,0.06966,225.93016,0.631,0.022,0.99,0.891,230717,56,1
bab4689f-d50b-4eb3-96dc-c8b0f0674170,0.40989,0.869,0.932,0.2033,5,0.3192,-6.131,1,0.5973,129.199,3,0.76,4732447,214.62344,214623.0,0.04644,206.86658,0.754,0.021,0.994,0.895,241853,64,1
