song_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,num_samples,duration,duration_ms,end_of_fade_in,start_of_fade_out,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence,song_duration_ms,popularity,explicit
77f65ae3-3691-449d-aa49-72e11722c2bc,0.35139,0.936,0.939,0.31411,0,0.2412,-9.039,0,0.4312,117.454,4,0.662,5167647,234.36041,,0.55728,226.30168,0.787,0.015,0.985,0.887,190586,64,0
82edeec1-202f-4f2d-898b-d3ddb230553c,0.49493,0.897,0.836,0.22095,9,0.4,-8.34,0,0.5598,112.347,4,0.603,4923935,223.30771,,0.20898,212.78766,0.762,0.026,0.988,0.889,200066,67,0
3eaeecde-3122-41e0-a120-ff4da4c1a9ed,0.37638,0.702,0.846,0.28827,0,0.1998,-8.391,0,0.5995,151.999,7,0.696,4891136,221.82024,,0.02322,215.80626,0.64,0.009,0.985,0.887,221800,61,0
3230e0bc-27db-458f-bbea-35fc1d3b18bd,0.52566,0.847,0.809,0.2567,0,0.4,-10.783,1,0.5368,103.359,3,0.628,6335007,287.3019,,0.18576,271.25552,0.717,0.017,0.991,0.892,227413,60,0
27412e7b-0906-4206-ba09-5e02b496dee7,0.55811,0.732,0.762,0.16495,9,0.3611,-9.277,0,0.3774,80.75,4,0.453,4417055,200.31995,,0.88236,198.27519,0.604,0.034,0.99,0.891,296013,59,0
dc031996-8c48-4c4e-be6a-a7dfbdcc0596,0.32455,0.914,0.909,0.31724,2,0.1867,-7.659,0,0.4661,117.454,4,0.656,4365312,197.97333,,0.2322,190.61261,0.787,0.015,0.984,0.886,157507,57,0
51ce2dc6-4471-45d8-b645-f8ab9fced9db,0.41933,0.856,0.941,0.27334,9,0.3216,-7.532,0,0.4961,95.703,4,0.618,4174367,189.3137,,0.1161,185.06303,0.679,0.009,0.993,0.894,207520,74,0
87829198-c311-48d4-825d-df603922a61a,0.46292,0.866,0.897,0.26822,5,0.3685,-7.717,1,0.5897,95.703,3,0.684,4848159,219.87115,,0.13932,214.73814,0.679,0.01,0.993,0.894,261153,78,0
f6be4a97-10f0-4b96-982b-89003b3e7590,0.47796,0.735,0.866,0.25903,5,0.3999,-8.618,1,0.5762,135.999,4,0.761,4697631,213.0445,,6.82667,203.96408,0.72,0.024,0.985,0.887,161746,61,0
6d2d0078-a39f-4288-b52b-7c9272bab6df,0.40286,0.813,0.861,0.29835,5,0.2517,-8.999,1,0.5971,95.703,4,0.671,5808671,263.4318,,0.8127,258.5542,0.679,0.037,0.987,0.888,280533,62,0
01ead8bb-988b-452a-b2f5-d611f5d3beca,0.47272,0.85,0.874,0.24624,5,0.3659,-8.895,1,0.5853,107.666,3,0.704,4663839,211.51196,,0.20898,206.37897,0.738,0.022,0.988,0.89,197973,42,0
3e41f701-db33-4cda-b148-6253a6794c6c,0.36855,0.779,0.905,0.30027,9,0.2384,-7.299,0,0.4676,86.133,4,0.59,4203039,190.61401,,0.0,188.15129,0.631,0.014,0.983,0.884,211013,45,0
56472e60-3c6a-41a6-8af8-1596015e906a,0.53744,0.795,0.782,0.19316,0,0.4,-11.23,1,0.4741,99.384,4,0.59,6471199,293.47842,,0.20898,268.5388,0.697,0.01,0.991,0.892,226866,75,0
f781e06b-2349-4136-b842-7f576c7e1d24,0.49068,0.811,0.853,0.22733,9,0.4,-8.822,0,0.5833,95.703,4,0.587,5124096,232.38531,,0.85914,225.09424,0.679,0.029,0.987,0.888,234360,43,0
08b740db-bd2a-4c37-9a29-e696ffc9adc7,0.42123,0.782,0.886,0.33254,4,0.2932,-11.879,1,0.4883,92.285,4,0.674,4390431,199.11252,,0.62694,197.50893,0.661,0.016,0.985,0.886,216093,60,0
9d2f8a8d-b80c-435b-b350-21030fb0f457,0.43516,0.898,0.825,0.20034,5,0.2487,-8.001,1,0.5128,117.454,4,0.676,5080607,230.41302,,2.2059,226.39456,0.787,0.038,0.986,0.888,287266,73,0
55aff250-c9c7-4172-b677-cc87167cd206,0.4685,0.807,0.874,0.19177,9,0.3883,-8.412,0,0.5782,92.285,4,0.597,4623903,209.70082,,0.3483,203.24426,0.661,0.028,0.99,0.891,178426,88,0
9da0d6b3-eff5-4558-8c29-b6b61902b124,0.49845,0.788,0.811,0.23117,5,0.3289,-12.175,1,0.485,135.999,4,0.699,3317279,150.4435,,0.2322,143.75475,0.72,0.044,0.98,0.882,199066,53,0
169e4eed-cb01-49d9-a60f-04970c3a55d1,0.44526,0.762,0.861,0.21738,2,0.29,-8.278,0,0.5953,83.354,7,0.571,5253663,238.26135,,0.74304,234.7073,0.617,0.008,0.989,0.89,211506,70,0
f8040203-c1dc-478c-b372-82bdf1c6370b,0.568,0.728,0.757,0.29821,9,0.361,-9.219,0,0.3612,80.75,4,0.447,4417024,200.31854,,0.85914,198.27519,0.604,0.034,0.99,0.891,200306,75,0
36166de2-db18-4754-8ac6-c9c13baa2cfa,0.45696,0.85,0.89,0.20692,9,0.353,-7.904,0,0.5982,99.384,7,0.615,5163551,234.17465,,0.90558,227.50912,0.697,0.013,0.992,0.893,209680,73,0
a39688dc-a1b3-4b9b-b141-f0917930ce3b,0.43125,0.889,0.91,0.25143,9,0.3261,-6.906,0,0.5692,129.199,3,0.681,4672031,211.88348,,0.37152,210.67465,0.754,0.013,0.997,0.897,233626,78,0
bc8fcce1-ed25-43e9-932c-2e84a9b12d6a,0.55811,0.732,0.762,0.16495,9,0.3611,-9.277,0,0.3774,80.75,4,0.453,4417055,200.31995,,0.88236,198.27519,0.604,0.034,0.99,0.891,232253,81,0
9f5c8922-778c-4371-bfed-2ab3ccad0d03,0.43216,0.905,0.922,0.24982,0,0.3804,-9.136,1,0.5453,112.347,4,0.723,4726303,214.3448,,2.99537,208.00435,0.762,0.016,0.991,0.892,236413,82,0
9689c440-8f67-4f47-8e7b-ce8bfa548aef,0.36145,0.897,0.951,0.26054,5,0.2507,-8.138,1,0.487,123.047,5,0.752,3473951,157.5488,,0.2322,151.46376,0.785,0.015,0.991,0.892,170640,70,0
0616a82d-f48a-4887-ba57-019106bb7b3e,0.49049,0.785,0.85,0.3534,10,0.3366,-8.577,0,0.5689,99.384,7,0.592,5595136,253.74767,,0.41796,248.87148,0.697,0.015,0.983,0.885,173386,68,0
325373a9-9ce2-4c90-9df6-c0812cb03c4f,0.45696,0.85,0.89,0.20692,9,0.353,-7.904,0,0.5982,99.384,7,0.615,5163551,234.17465,,0.90558,227.50912,0.697,0.013,0.992,0.893,238253,74,0
c4a1c4b3-7f4f-44d9-beef-bff519dc8de9,0.44515,0.793,0.839,0.30574,2,0.2708,-6.955,0,0.5875,135.999,3,0.655,5758464,261.15482,,0.0,256.60373,0.72,0.023,0.988,0.889,150440,62,0
7932c0df-5c09-4b19-bea4-abff9bb8faa8,0.42056,0.797,0.835,0.24422,9,0.242,-7.926,0,0.5633,135.999,6,0.65,6185984,280.5435,,0.16254,274.32053,0.72,0.008,0.991,0.892,211853,77,0
f75fc860-610b-437d-bcd0-1806b5cbe393,0.50437,0.753,0.831,0.25637,0,0.4,-9.499,1,0.5729,89.103,3,0.624,4576256,207.53995,,0.09288,200.22568,0.646,0.017,0.997,0.898,190240,71,0
